Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.4001650806040916;0.15369639777260077;0.30748508069727615
2;-0.7990206848634024;0.3169443896865503;0.6157036971906452
3;-1.2074953013205014;0.4925170954347036;0.9123260819803846
4;-1.6401009893605267;0.6805303699091648;1.2190114989555716
5;-2.083968771987073;0.8566633575814969;1.5346805700041728
6;-2.555092360884614;1.0391555534398635;1.8780997137021775
7;-3.0579512117273735;1.2258323256375805;2.253280087692386
8;-3.5927581870879584;1.4020768486905806;2.6535438329725247
9;-4.146617485994033;1.5760532252616866;3.0561188800624235
10;-4.720399124544258;1.7650789140291685;3.4663179336368835
11;-5.32027630916802;1.9624605791195753;3.8966010780299287
12;-5.95365560304019;2.1676151513406876;4.35233934538292
13;-6.6315189141643405;2.368703818630723;4.847462339221947
14;-7.320853792500877;2.560391667136461;5.367863338959076
15;-8.037033280437955;2.7778737334747605;5.889398629859735
16;-8.785424673024949;2.998247738112589;6.403515725157225
17;-9.563295696924694;3.2343131314456652;6.919719091859232
18;-10.365173061234234;3.480372705439339;7.464351023587549
19;-11.215610341393543;3.7240583991989373;8.063537225326552
20;-12.101965981586162;3.9686485311384225;8.672326308962464
21;-13.028394174050025;4.2216931206253125;9.283625918034389
22;-13.976662228275659;4.49132132098062;9.892020770333662
23;-14.95936793320233;4.7515187749918555;10.517638450412168
24;-15.986750644651309;5.029574793266914;11.18231755907607
25;-17.081649995300722;5.331696915914093;11.854260499146466
26;-18.182502744605276;5.622477491467663;12.527527612070614
27;-19.30419865005833;5.922069442538721;13.213805224628636
28;-20.479400196081777;6.25110271655808;13.94144361612566
29;-21.712103589423513;6.572633940963607;14.647184925732986
30;-22.96134981530125;6.899140828482072;15.354272189837154
31;-24.250425882983308;7.256237810080586;16.084682458859042
32;-25.601576235079964;7.632783234376329;16.83840759796798
33;-27.004462089575362;8.02051487275261;17.619250191395274
34;-28.446316021090443;8.433536435038775;18.404689309227173
35;-29.91845645076319;8.858742664307892;19.173921931831163
36;-31.448678300741182;9.298889142303754;19.948510171314727
37;-32.99785398579903;9.757534180948854;20.70375044343288
38;-34.60395773402909;10.245791147617197;21.458127938999294
39;-36.251679641112155;10.749924267272943;22.218178532063778
40;-37.93963199346835;11.280577982819315;22.986349261181065
41;-39.677795991284476;11.80465246255361;23.773293076240652
