Frame;1_X;1_Y;1_Z
0;0.0;0.0;0.0
1;-0.23355406888548694;-0.22756130778627776;0.28874677245475144
2;-0.4706408233070271;-0.48989275945818367;0.6102554281702199
3;-0.7245936336169105;-0.8069179456158739;0.9690785576268264
4;-0.9958393712726606;-1.1654988913902165;1.3651783735050647
5;-1.2851038612678418;-1.5720187190565946;1.7794029799533007
6;-1.5981348737534722;-2.043879464933965;2.2015557711269147
7;-1.9120683048371536;-2.559210623498912;2.6185222880280805
8;-2.233511089636978;-3.1209985379245584;3.0412445858344364
9;-2.560762859241601;-3.71959604799045;3.4716825933872117
10;-2.8917259490470415;-4.370035945607932;3.9096211092851316
11;-3.2555989205478015;-5.074841028622762;4.367366938883904
12;-3.6353090383920343;-5.825946921328009;4.84182497093716
13;-4.031145715187788;-6.622910070700161;5.3342996517667824
14;-4.426924751464346;-7.4438482763324565;5.80803405529558
15;-4.812302758425682;-8.297695041625882;6.281227438902601
16;-5.222207810815024;-9.159919221290608;6.734455716186722
17;-5.639230838149553;-10.027525312329223;7.16547895423269
18;-6.067873434312608;-10.88855519299638;7.600676990419859
19;-6.499328425164789;-11.763593632208588;8.057448756326092
20;-6.955137992924296;-12.621252507848082;8.501026675955124
21;-7.43095450522365;-13.46487726973735;8.921430993309418
22;-7.91961278730306;-14.274601634141174;9.29244989418865
23;-8.435403002668917;-15.076001574262671;9.66787480498397
24;-8.977375453849792;-15.86727564435442;10.050992949756486
25;-9.523473607626093;-16.632603378628172;10.424489831544866
26;-10.10211190932629;-17.37924379219852;10.8192213785227
27;-10.728477155278261;-18.1216622821694;11.26126804730657
28;-11.375637884764448;-18.85709994209027;11.702883767999719
29;-12.046822182499929;-19.6042132699618;12.15386261825762
30;-12.746272964507016;-20.35199230967822;12.605599449743945
31;-13.46886148342625;-21.097765257707064;13.051710335046385
32;-14.22262998880561;-21.825089553912722;13.492813480979853
33;-14.998510552671236;-22.549527459549793;13.949002932954619
34;-15.791623509613936;-23.284365215965295;14.435327756347052
35;-16.61576171569079;-24.013502493638796;14.935861390598257
36;-17.48680989227376;-24.741229645782084;15.450060398583595
37;-18.381124998475403;-25.474580299998774;15.977683885556996
38;-19.318408518667997;-26.221673095919527;16.53119452867996
39;-20.295014939900273;-26.98510831214484;17.10199873222888
40;-21.32256257645963;-27.767972895471853;17.69512760688394
41;-22.405334365786413;-28.575450738273673;18.326457423372116
42;-23.53696279261094;-29.390264247563266;18.94411246178408
43;-24.724695074104297;-30.21604683941649;19.56015357363985
44;-25.95292229834997;-31.053184387000968;20.202565699293224
45;-27.240217386556264;-31.925122270193484;20.85171783202232
46;-28.596115662383063;-32.82259094453428;21.515493449737555
