Frame;1_X;1_Y;1_Z
0;884.34314;643.498169;115.741814
1;884.388916;643.526733;115.620468
2;884.409668;643.531067;115.584869
3;884.38739;643.53949;115.573997
4;884.436584;643.507446;115.699455
5;884.413208;643.495361;115.712402
6;884.405701;643.497192;115.701698
7;884.348145;643.523926;115.545135
8;884.403503;643.491211;115.596321
9;884.388916;643.505676;115.703903
10;884.357849;643.519592;115.63623
11;884.415466;643.502808;115.586784
12;884.470581;643.493591;115.651649
13;884.450073;643.599915;115.671242
14;884.401978;643.520264;115.730881
15;884.354614;643.488831;115.741768
16;884.3974;643.485474;115.68219
17;884.441284;643.602173;115.668091
18;884.424194;643.631531;115.64753
19;884.413391;643.624695;115.650002
20;884.399658;643.510376;115.728081
21;884.393127;643.590881;115.688805
22;884.418213;643.616394;115.617569
23;884.402405;643.636658;115.591248
24;884.435486;643.610168;115.655746
25;884.439331;643.612;115.680847
26;884.447144;643.595764;115.646896
27;884.401306;643.598999;115.68544
28;884.443359;643.605042;115.722511
29;884.4328;643.603638;115.690948
30;884.430481;643.603943;115.678001
31;884.430969;643.604126;115.67852
32;884.499329;643.590698;115.746681
33;884.484497;643.617859;115.662804
34;884.490173;643.600586;115.707809
35;884.480042;643.590088;115.738289
36;884.473145;643.693054;115.708084
37;884.483459;643.616394;115.7229
38;884.494934;643.704224;115.640289
39;884.514771;643.738281;115.600677
40;884.51886;643.736206;115.599426
41;884.513306;643.7005;115.691612
42;884.494995;643.718262;115.644897
43;884.574341;643.721252;115.624481
44;884.57135;643.719421;115.581184
45;884.525513;643.730652;115.593597
46;884.543091;643.71936;115.595352
47;884.519348;643.728149;115.605324
48;884.507629;643.730347;115.61335
49;884.528992;643.708435;115.684258
50;884.504517;643.721985;115.635689
51;884.507385;643.730591;115.609474
52;884.512634;643.731506;115.606216
53;884.512207;643.730347;115.60936
54;884.510376;643.729675;115.611687
55;884.511108;643.833801;115.576691
56;884.585327;643.827026;115.679871
57;884.588684;643.706787;115.747719
58;884.553162;643.803589;115.66021
59;884.583374;643.822266;115.685654
60;884.557129;643.81012;115.67527
61;884.530518;643.81958;115.652924
62;884.545898;643.809204;115.669617
63;884.550293;643.805115;115.675758
64;884.549622;643.805359;115.675438
65;884.532654;643.820435;115.653168
66;884.53125;643.824341;115.647339
67;884.549133;643.809143;115.669563
68;884.533875;643.847839;115.572563
69;884.560547;643.849548;115.555176
70;884.550537;643.857849;115.541603
71;884.582092;643.862976;115.524521
72;884.557495;643.860718;115.533531
73;884.558472;643.949097;115.531487
74;884.565979;643.970154;115.523178
75;884.568909;643.965332;115.520309
76;884.568054;643.961731;115.521553
77;884.566833;643.961304;115.522964
78;884.564514;643.931519;115.608063
79;884.549866;643.921509;115.639687
80;884.554443;643.916809;115.697372
81;884.545715;643.951111;115.567009
82;884.569397;643.965881;115.509178
83;884.565063;643.944275;115.630325
84;884.564209;643.942688;115.66729
85;884.568726;643.945801;115.658073
86;884.592285;643.926086;115.71804
87;884.570679;643.940918;115.6679
88;884.569641;643.814575;115.762169
89;884.531006;643.77533;115.927498
90;884.511841;643.773376;115.960899
91;884.462036;643.82074;115.967598
92;884.437805;643.796997;116.155617
93;884.333984;643.819336;116.216141
94;884.332703;643.801086;116.401573
95;884.285217;643.922729;116.652534
96;884.231873;643.953979;117.01207
97;884.194885;644.041565;117.26384
98;884.030884;644.10675;117.599068
99;883.613037;643.967957;118.153717
100;883.389709;644.091736;118.724304
101;883.367554;644.249634;119.144279
102;883.153015;644.333252;119.33683
103;882.994385;644.308716;119.758606
104;882.765442;644.270325;120.118439
105;882.398376;644.263428;120.44548
106;881.964172;644.422668;120.720383
107;881.583069;644.578186;121.224167
108;881.049255;644.700928;121.655296
109;880.507751;644.834167;122.20385
110;879.947327;644.874573;123.213295
111;879.321106;645.201294;123.99765
112;878.66156;645.519226;124.809929
113;877.894043;645.713074;125.447502
114;876.646973;645.915466;126.223053
115;875.553406;645.928833;126.973282
116;874.538696;645.833313;128.248169
117;873.050903;646.103699;129.719955
118;871.292358;646.525146;130.947021
119;869.318359;646.616638;132.133591
120;867.199036;646.944641;132.909866
121;865.344116;647.118042;133.747665
122;862.790588;647.531433;135.474472
123;860.084534;648.040588;136.990982
124;857.05304;648.187805;138.847763
125;853.983398;648.689514;139.938446
126;850.886047;649.034668;141.777298
127;847.417297;649.312927;143.143631
128;844.047546;650.042725;144.560745
129;840.114258;650.553101;146.099792
130;836.303955;651.047424;147.728317
131;832.248962;651.437744;148.897614
132;828.278687;651.856873;150.113449
133;824.017029;652.398438;151.405304
134;819.574158;652.714539;152.620407
135;815.068176;653.111267;153.73085
136;810.520813;653.377563;154.809555
137;805.962952;653.950012;156.106476
138;801.693604;654.379883;156.804398
139;797.170227;654.741821;157.286407
140;792.325378;654.957336;158.25705
141;787.42749;655.345764;158.671539
142;782.885254;655.78241;158.925079
143;778.203552;656.264587;159.837646
144;773.437073;656.535645;160.608521
145;768.648865;656.713257;161.063599
146;764.001099;656.896606;160.692169
147;759.751404;657.199524;160.445694
148;755.373596;657.517639;160.500488
149;750.755676;657.630432;160.803619
150;746.067566;657.719421;160.752686
151;741.532166;657.716187;159.882095
152;737.625061;657.776184;159.80043
153;733.062439;657.865051;159.604126
154;728.585144;657.943054;158.771484
155;724.358765;657.924072;158.025726
156;720.029053;657.849548;157.710541
157;715.973633;657.931274;156.739914
158;711.899048;657.772095;156.000839
159;707.907288;657.720825;154.71315
160;704.209961;657.662964;153.720383
161;700.30542;657.635498;153.335678
162;696.405884;657.465454;152.477646
163;692.683167;657.305542;151.158325
164;689.423218;657.294739;149.858963
165;686.016357;657.246765;148.137527
166;682.701416;657.363037;147.374039
167;679.577393;657.022949;145.931931
168;676.160645;656.888306;144.265884
169;673.542786;656.615967;142.406036
170;670.550537;656.77948;140.926453
171;667.856445;656.641479;139.051865
172;665.318665;656.605164;137.054092
173;662.948669;656.43396;134.987579
174;660.443115;656.539856;133.362137
175;658.009827;656.362;131.471329
176;655.950928;656.509949;129.240875
177;654.250793;656.249084;127.526932
178;651.963989;656.422913;125.546852
179;650.476013;656.267395;123.333694
180;649.071228;656.29425;121.084053
181;647.383118;656.195007;119.301537
182;645.706604;656.415771;117.123566
183;645.070923;656.33728;114.812828
184;644.385193;656.467224;112.934769
185;643.563782;656.706421;112.187477
186;642.827698;656.771118;111.942368
187;641.945435;656.624695;111.074989
188;641.21405;656.517639;110.328262
189;640.486023;656.433838;109.927742
190;639.771118;656.407104;109.367355
191;639.249573;656.134338;108.936531
192;638.583252;655.850403;108.716354
193;638.014709;655.633667;108.510887
194;637.542908;655.477051;108.43428
195;637.193726;655.275391;107.824326
196;636.815369;655.048462;107.426582
197;636.404419;654.589111;107.299858
198;635.941406;654.189819;107.223831
199;635.518494;653.896301;107.276268
200;635.092163;653.644592;107.508148
201;634.827271;653.508423;107.714142
202;634.595032;653.3974;107.878357
203;634.432434;653.392578;107.919159
204;634.292297;653.301392;108.004852
205;634.111633;653.283264;108.116516
206;634.033936;653.287292;108.157578
207;633.976379;653.319275;108.157936
208;633.944458;653.321899;108.171265
209;633.9375;653.396912;108.265091
210;633.969727;653.403076;108.3563
211;633.993347;653.505127;108.292168
212;634.0177;653.626343;108.275032
213;634.056152;653.630981;108.446663
214;634.05603;653.728455;108.467506
215;634.066284;653.847046;108.472786
216;634.087463;653.944275;108.543198
217;634.097595;654.037231;108.548393
218;634.14093;654.239197;108.537666
219;634.224731;654.474609;108.408813
220;634.284241;654.611572;108.366913
221;634.352051;654.811157;108.352837
222;634.382629;654.919739;108.289474
223;634.419067;655.137512;108.399223
224;634.463501;655.315979;108.395073
225;634.505188;655.44043;108.377502
226;634.599304;655.576355;108.228607
227;634.693542;655.647461;108.047203
228;634.84137;655.755432;107.956413
229;634.895325;655.802124;107.957489
230;634.864563;655.80603;107.826355
231;634.973816;655.90448;107.765244
232;634.928955;655.923706;107.742393
233;635.055115;655.926575;107.660088
234;635.01825;655.962891;107.622704
235;635.017883;655.954102;107.657013
236;634.959595;655.955139;107.668526
237;635.005066;655.970032;107.551605
238;635.011475;655.970581;107.606102
239;635.026611;656.06665;107.499756
240;635.047729;655.987976;107.451057
241;635.0625;656.069885;107.427574
242;635.030518;656.077637;107.425484
243;635.0578;656.055481;107.344093
244;635.055603;656.082397;107.314568
245;635.025269;655.963867;107.095825
246;634.948425;656.069092;107.447456
247;634.910828;656.078003;107.465111
248;634.90564;656.093872;107.556725
249;634.933105;656.086975;107.514748
250;634.979736;656.085327;107.457382
251;634.984314;656.083923;107.447182
252;635.020813;656.08905;107.39267
253;635.059204;656.212585;107.261421
254;635.057251;656.215759;107.342552
255;635.097717;656.171631;107.295052
256;635.158813;656.19342;107.221718
257;635.215576;656.244141;107.148315
258;635.219421;656.228821;107.27137
259;635.215454;656.156616;107.264297
260;635.226379;656.261841;107.315086
261;635.209045;656.255798;107.190071
262;635.32605;656.316895;107.257759
263;635.268127;656.333069;107.202629
264;635.30304;656.317627;107.303146
265;635.293579;656.315247;107.210014
266;635.329529;656.302612;107.297012
267;635.334412;656.442749;107.260338
268;635.334106;656.47229;107.136307
269;635.348389;656.469849;107.101158
270;635.348572;656.418884;107.240295
271;635.322327;656.451599;107.181694
272;635.293335;656.340332;107.263306
273;635.305237;656.41156;107.309052
274;635.351501;656.350342;107.331009
275;635.252319;656.352478;107.274361
276;635.254761;656.344482;107.294922
277;635.208618;656.252502;107.247444
278;635.260132;656.303711;107.355698
279;635.254578;656.330261;107.423592
280;635.201904;656.363647;107.256142
281;635.240784;656.306519;107.105278
282;635.229919;656.265381;107.227585
283;635.182007;656.243469;107.311935
284;635.140076;656.225159;107.306892
285;635.177002;656.289551;107.169952
286;635.182068;656.141663;107.235199
287;635.163147;656.334839;107.372047
288;635.149109;656.289246;107.219955
289;635.166809;656.128357;107.250626
290;635.15155;656.146851;107.393791
291;635.167053;656.255188;107.220329
292;635.123901;656.202515;107.131119
293;635.118469;656.199402;107.348328
294;635.14679;656.152344;107.216759
295;635.158936;656.182739;107.400909
296;635.165283;656.248901;107.349777
297;635.19104;656.261841;107.294197
298;635.189819;656.310852;107.316536
299;635.205627;656.167725;107.205025
300;635.377441;656.169861;106.760559
301;635.382568;656.329285;106.988556
302;635.22937;656.171326;107.128654
303;635.174011;656.118652;107.176422
304;635.377136;656.147583;107.000771
305;635.34552;656.11853;107.045441
306;635.45166;656.146301;106.874214
307;635.573914;656.159851;106.756874
308;635.578857;656.209595;106.639359
309;635.539124;656.208801;106.659843
310;635.516052;656.198608;106.694641
311;635.487976;656.194336;106.716522
312;635.503296;656.179565;106.721832
313;635.474731;656.153259;106.728584
314;635.273804;656.142395;106.855705
315;635.386414;656.07843;106.740997
316;635.495544;656.075439;106.652908
317;635.499939;656.083008;106.60788
318;635.426514;656.112244;106.563126
319;635.449219;656.07019;106.618767
320;635.44928;656.132568;106.594887
321;635.393005;656.040039;106.628662
322;635.39386;656.048828;106.706909
323;635.253662;656.074646;106.794708
324;635.361328;655.972717;106.743591
325;635.443665;656.031738;106.686195
326;635.493713;656.067139;106.629028
327;635.424866;655.9646;106.712433
328;635.471436;656.094543;106.566261
329;635.516174;656.108521;106.621719
330;635.487854;656.072449;106.651718
331;635.488647;656.070129;106.650894
332;635.484985;656.081909;106.683464
333;635.494324;656.10022;106.591629
334;635.493408;656.072998;106.643051
335;635.506592;656.078308;106.640656
336;635.516235;656.113647;106.579605
337;635.487183;656.068298;106.732483
338;635.391174;656.054749;106.756012
339;635.481384;656.088745;106.697495
